gid	variance	mutual_info	anova_f	anova_p	fwe_alpha_5e2	fdr_alpha_5e2	fpr_alpha_5e2
ENSG00000151135	0.03822080704686697	0.007730172070131491	4.253106134475267	0.014519912423106646	False	True	True
ENSG00000120832	0.03822080704686697	0.007730172070131491	4.253106134475267	0.014519912423106646	False	True	True
ENSG00000008405	0.0365201244565726	0.009841259474679509	3.3544702437305833	0.03538495080853784	False	False	True
ENSG00000047617	0.07074375613241154	0.055025647779434195	13.31572195663813	2.0169196860744764e-06	True	True	True
ENSG00000288623	0.03232077041328313	0.005840001398629502	3.3545123666567975	0.03538347184621065	False	False	True
ENSG00000285133	0.03218131215658541	0.011408591896378217	5.476040032317971	0.004332959573288191	False	True	True
ENSG00000139567	0.030398593943499138	0.01921540670625088	6.514058965430874	0.0015565753004801995	False	True	True
ENSG00000284791	0.03114504696069439	0.02102264824325828	8.10924460969121	0.00032430885115408454	False	True	True
ENSG00000057294	0.04276577681172866	0.05476088218811692	5.767257353131413	0.00325043001424258	False	True	True
ENSG00000111249	0.030359746684654403	0.0072911163179023575	4.3371948879423705	0.013359969699229056	False	True	True
ENSG00000198324	0.030359746684654403	0.0072911163179023575	4.3371948879423705	0.013359969699229056	False	True	True
ENSG00000173093	0.031168951113412554	0.007403335845631354	4.50622274109192	0.011301703838554934	False	True	True
ENSG00000111245	0.03128175798199345	0.0072911163179023575	4.337194887942378	0.013359969699229056	False	True	True
ENSG00000273079	0.07753713867679399	0.04049146086266697	15.481014660455077	2.4816797677426704e-07	True	True	True
ENSG00000133704	0.04246518442393301	0.04991841130683028	7.2749316469583425	0.000736098443389373	False	True	True
ENSG00000166888	0.03149458660483216	0.017512848334837683	6.03843822757912	0.0024874906921241737	False	True	True
ENSG00000111696	0.03919286493370909	0.005283507269517873	4.925613109774659	0.00746411992834931	False	True	True
ENSG00000204954	0.03954635197669689	0.004830735529321117	5.119557437002438	0.006161990314678778	False	True	True
ENSG00000111727	0.039738407734704204	0.0041627017612853034	5.237897280629896	0.0054819815884730415	False	True	True
ENSG00000293563	0.07753713867679399	0.04049146086266697	15.481014660455077	2.4816797677426704e-07	True	True	True
ENSG00000139719	0.034952176726829265	0.012687529170456902	4.7773503127981805	0.008642726622868795	False	True	True
ENSG00000167552	0.029260785428724716	0.01623877112324168	6.63647621344426	0.0013797639835262986	False	True	True
ENSG00000120868	0.03934954053197173	0.01419951800741126	7.060987743395175	0.000908508169516196	False	True	True
ENSG00000120802	0.03958780119743287	0.01377741694144885	6.750398796361093	0.0012333499832982656	False	True	True
ENSG00000161642	0.03033714269598552	0.015517055681043779	5.79440684765447	0.003164507840417676	False	True	True
ENSG00000161638	0.03033714269598552	0.015517055681043779	5.79440684765447	0.003164507840417676	False	True	True
ENSG00000170627	0.03051660631296389	0.015517055681043779	5.794406847654461	0.003164507840417676	False	True	True
ENSG00000123338	0.03051660631296389	0.015517055681043779	5.794406847654461	0.003164507840417676	False	True	True
ENSG00000139174	0.02900976580554852	0.01808883341284262	5.634545291984517	0.0037053024544915804	False	True	True
ENSG00000059804	0.08145534097951004	0.04595677805468745	15.38290998765572	2.728208892341733e-07	True	True	True
ENSG00000111726	0.05822945168145314	0.03270605609761268	10.099703226305362	4.617589729036596e-05	False	True	True
ENSG00000111728	0.057134710378590345	0.033308652955838625	11.264076405081525	1.4824421279225288e-05	False	True	True
ENSG00000111731	0.057134710378590345	0.033308652955838625	11.264076405081525	1.4824421279225288e-05	False	True	True
ENSG00000139163	0.057134710378590345	0.033308652955838625	11.264076405081525	1.4824421279225288e-05	False	True	True
ENSG00000123360	0.03051660631296389	0.015517055681043779	5.794406847654461	0.003164507840417676	False	True	True
ENSG00000135447	0.03051660631296389	0.015517055681043779	5.794406847654461	0.003164507840417676	False	True	True
ENSG00000135413	0.03051660631296389	0.015517055681043779	5.794406847654461	0.003164507840417676	False	True	True
ENSG00000161634	0.03051660631296389	0.015517055681043779	5.794406847654461	0.003164507840417676	False	True	True
ENSG00000172551	0.030875579220378372	0.019254890877453246	7.046064699439433	0.0009219457284993058	False	True	True
ENSG00000135426	0.030785147197416787	0.015888983351057373	5.815799680822411	0.0030984108296483242	False	True	True
ENSG00000179919	0.030545685491090623	0.020129373711208265	6.983786338497428	0.0009802093543188474	False	True	True
ENSG00000205328	0.030545372442644898	0.021392489982413387	6.992223588721379	0.0009721048741478694	False	True	True
ENSG00000175215	0.03136305108781092	0.0076173822523391	3.7669283906413034	0.023504970802425782	False	True	True
ENSG00000166896	0.02963957143189397	0.009777905615302451	4.685517350982866	0.0094645453956037	False	True	True
ENSG00000139263	0.028205494342973425	0.013125645200634972	6.12370774518433	0.002286889590260355	False	True	True
ENSG00000139318	0.037429572865038216	0.01898924383898537	4.959833711705113	0.007215816610268779	False	True	True
