"genes"	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
"ENSG00000013375"	"PGM3"	-7.15116897401555	7.00891557230987	-80.1900807731509	0	0	805.418818200112
"ENSG00000014123"	"UFL1"	-6.52824174925984	6.45143736253218	-75.870886997975	0	0	770.633829610828
"ENSG00000014216"	"CAPN1"	-6.77616426954632	6.78926780300066	-112.472565556068	0	0	1024.8325645868
"ENSG00000014641"	"MDH1"	-6.84626631146967	6.80246720444565	-80.974120519244	0	0	811.57485311159
"ENSG00000014824"	"SLC30A9"	-6.00378379251789	6.06297307496939	-102.805051185224	0	0	965.597446660148
"ENSG00000015133"	"CCDC88C"	-7.6255508132197	7.85198483992864	-76.8595812730145	0	0	778.688423520737
"ENSG00000015171"	"ZMYND11"	-6.06366248474759	6.10641035353021	-81.2063117625381	0	0	813.386606913045
"ENSG00000015479"	"MATR3"	-8.50680379426986	8.49900546412147	-149.974904194964	0	0	1216.82130244472
"ENSG00000015676"	"NUDCD3"	-6.12869510714662	6.15036592806406	-104.038162677106	0	0	973.42786967735
"ENSG00000016864"	"GLT8D1"	-6.67231518736273	6.55646833840769	-82.7517944452267	0	0	825.351736813565
"ENSG00000017260"	"ATP2C1"	-6.38176198533887	6.24373295297391	-96.4590011577167	0	0	923.976696185568
"ENSG00000018510"	"AGPS"	-5.24170555624585	5.19322170192413	-89.2405999508613	0	0	873.526082538948
"ENSG00000019995"	"ZRANB1"	-5.52855138483538	5.54842366885434	-85.95202883273	0	0	849.497098399602
"ENSG00000021776"	"AQR"	-6.00538449845914	6.0034803330824	-114.08512454312	0	0	1034.24189796173
"ENSG00000022277"	"RTF2"	-5.96568232184011	5.91038462654119	-122.015958027665	0	0	1078.9049554402
"ENSG00000022840"	"RNF10"	-7.06467610893808	6.9964040105834	-107.729484391448	0	0	996.359203712008
"ENSG00000023041"	"ZDHHC6"	-5.45064121134308	5.49761897207497	-122.528519809471	0	0	1081.60188718338
"ENSG00000023191"	"RNH1"	-6.94703545443776	6.97602930632307	-107.240573447694	0	0	993.36171667563
"ENSG00000023228"	"NDUFS1"	-6.1422209425901	6.08936680143304	-90.7217016429438	0	0	884.236152779161
"ENSG00000023318"	"ERP44"	-7.41583417590167	7.33397644199819	-122.186333127319	0	0	1079.81254953325
"ENSG00000023734"	"STRAP"	-6.65076572508779	6.51160351546585	-91.12979840506	0	0	887.140781313686
"ENSG00000023892"	"DEF6"	-6.94975240528581	6.79714364119854	-97.8539629064715	0	0	933.328857349029
"ENSG00000024048"	"UBR2"	-6.48818085243153	6.56748525777713	-80.2675696518345	0	0	806.035369374625
"ENSG00000025293"	"PHF20"	-5.18917900992948	5.19276999365908	-95.5947579043892	0	0	917.989304816203
"ENSG00000025770"	"NCAPH2"	-5.92454036900618	5.97383258453609	-73.9415159180305	0	0	754.577721770102
"ENSG00000025796"	"SEC63"	-8.23270673267272	8.08946195621605	-99.4622304356746	0	0	943.840333510801
"ENSG00000025800"	"KPNA6"	-6.03971842064839	5.9013702244354	-106.783814501591	0	0	990.530893486104
"ENSG00000026751"	"SLAMF7"	-10.3666849660023	10.2429088624628	-101.675148419912	0	0	957.820014084164
"ENSG00000027847"	"B4GALT7"	-5.66242334766609	5.66033393877487	-97.5876094972327	0	0	931.499231452236
"ENSG00000028116"	"VRK2"	-4.83432798025986	4.88493654938843	-80.65045553338	0	0	808.915345262658
"ENSG00000028203"	"VEZT"	-5.80598959120615	5.81784450525787	-82.54102723106	0	0	823.712361983745
"ENSG00000028310"	"BRD9"	-5.76965948566164	5.85809630744479	-97.1667188960981	0	0	928.713469252672
"ENSG00000028528"	"SNX1"	-6.45566427446239	6.55515829832733	-95.5200851214828	0	0	917.619932614454
"ENSG00000029363"	"BCLAF1"	-8.24679241804133	8.15189362256599	-94.2187086789347	0	0	908.593085559557
"ENSG00000029364"	"SLC39A9"	-5.97484696591121	6.13967411433096	-73.4383892347164	0	0	750.342748007226
"ENSG00000029725"	"RABEP1"	-5.71113735561944	5.73601295095806	-84.4680739701547	0	0	838.393429686116
"ENSG00000030066"	"NUP160"	-5.80594595698254	6.00024295552725	-72.3183979261941	0	0	740.822472446164
"ENSG00000031003"	"FAM13B"	-5.02548058927915	5.24083112697299	-75.6494986809486	0	0	768.752109011076
"ENSG00000031698"	"SARS1"	-7.45436022345054	7.4533625932215	-80.3256516391911	0	0	806.465718012766
"ENSG00000031823"	"RANBP3"	-5.91547714135801	5.91050567893166	-101.374236043406	0	0	956.396959078508
"ENSG00000032444"	"PNPLA6"	-6.17737554576129	6.28976019742315	-102.955604575604	0	0	966.567817993246
"ENSG00000033011"	"ALG1"	-5.9836005858415	5.77059263850377	-77.6228656260754	0	0	784.910681028045
"ENSG00000033100"	"CHPF2"	-7.64153134170637	7.44867810861731	-94.8716740339818	0	0	913.156293081466
"ENSG00000033178"	"UBA6"	-5.83658138382008	5.88657635495148	-87.5469361884895	0	0	861.306695542273
"ENSG00000033800"	"PIAS1"	-6.5990662454868	6.64506775558475	-96.6842090026494	0	0	925.498398520093
"ENSG00000034510"	"TMSB10"	-8.70948100982035	8.47120527567444	-89.8343761747519	0	0	877.763620614715
"ENSG00000034677"	"RNF19A"	-7.29041733262811	7.21381099297861	-79.1001616131387	0	0	796.776185863783
"ENSG00000034713"	"GABARAPL2"	-5.93476131322386	5.74141512998813	-79.3179618093416	0	0	798.498578725531
"ENSG00000035141"	"FAM136A"	-6.5505611265233	6.55694502379132	-109.235702218856	0	0	1005.53648904009
"ENSG00000035687"	"ADSS2"	-5.96662482165762	5.79652300149336	-82.1922283852291	0	0	821.021611777129
"ENSG00000035928"	"RFC1"	-6.00708882457269	6.02000382948135	-88.7870348814177	0	0	870.348992430733
"ENSG00000036054"	"TBC1D23"	-5.56986611483632	5.5424779888705	-71.4290379463018	0	0	733.16235609832
"ENSG00000036257"	"CUL3"	-6.36616574917268	6.34985746427965	-132.912260006597	0	0	1136.13062399083
"ENSG00000036549"	"ZZZ3"	-5.11785875689928	5.18945108332487	-80.1475067425202	0	0	805.013936251123
"ENSG00000037474"	"NSUN2"	-6.4635348434282	6.58528406338387	-119.960832923427	0	0	1067.63009006372
"ENSG00000037637"	"FBXO42"	-4.88539994261327	4.86073649146143	-102.419626149006	0	0	962.853983453469
"ENSG00000038210"	"PI4K2B"	-5.80031345367672	5.81770153079527	-75.7224710868628	0	0	769.398158417165
"ENSG00000038219"	"BOD1L1"	-6.56840638220402	6.56110127281699	-78.0086690479553	0	0	788.046178540279
"ENSG00000038274"	"MAT2B"	-6.80843571396358	6.86191963517615	-99.9084333089931	0	0	946.889356409256
