p_values p_values_bf p_values_BH freq
IGL..ext..PELI1 0.777786883795167 1 0.838909625154315 2
IGL..ext..RANBP2 0.213954898061235 1 0.75295666048473 2
IGL..ext..HID1 0.213954898061235 1 0.75295666048473 2
IGL..ext..HMCN2 0.777786883795167 1 0.838909625154315 2
IGL..ext..AC245052.3 0.777786883795167 1 0.838909625154315 2
CD40..IGL. 0.213954898061235 1 0.75295666048473 2
IGH...ext..PTMA 0.103500241815707 1 0.653122215595669 2
IGH...ext..MICALL2 0.777786883795167 1 0.838909625154315 2
IGH...ext..NACA 0.777786883795167 1 0.838909625154315 2
IGH...ext..NFKBIA 0.690143659331323 1 0.838909625154315 1
AMPD1..CSDE1 0.777786883795167 1 0.838909625154315 2
AMPD1..NRAS 0.475790960895084 1 0.78073851507856 2
AL512603.1..KIAA1217 0.213954898061235 1 0.75295666048473 2
ITM2B..RB1 0.146117935548424 1 0.703332875311723 2
INSYN1..IGH..ext 0.475790960895084 1 0.78073851507856 2
INTS1..IGH..ext 0.146117935548424 1 0.703332875311723 2
IGLL5..CHMP1A 0.475790960895084 1 0.78073851507856 2
IGLL5..TXNDC5 0.213954898061235 1 0.75295666048473 2
ANKRD36BP2..RPIA 0.475790960895084 1 0.78073851507856 2
KDM6A..LINC01204 0.777786883795167 1 0.838909625154315 2
KANSL1..AC126544.2 0.322238423387682 1 0.78073851507856 1
JCHAIN..IGH.. 0.777786883795167 1 0.838909625154315 2
IGH...ext..JSRP1 0.146117935548424 1 0.703332875311723 2
CEP57L1..AFG1L 0.103500241815707 1 0.653122215595669 2
CDC42BPB..TRAF3 0.777786883795167 1 0.838909625154315 2
IGH...ext..FGFR3 0.103500241815707 1 0.653122215595669 2
IGH...ext..FKBP1A 0.690143659331323 1 0.838909625154315 1
LINC.PINT..KLF2 0.103500241815707 1 0.653122215595669 2
LINC.PINT..UBC 0.475790960895084 1 0.78073851507856 2
LINC01138..SEC22B2 0.690143659331323 1 0.838909625154315 1
LINC01320..AC008568.1 0.475790960895084 1 0.78073851507856 2
LINC.PINT..ACTB 0.777786883795167 1 0.838909625154315 2
KLF2..SIK1 0.777786883795167 1 0.838909625154315 2
AL135905.2..EEF1A1 0.475790960895084 1 0.78073851507856 2
AHNAK..KLF2 0.777786883795167 1 0.838909625154315 2
LINC02484..AC016687.3 0.475790960895084 1 0.78073851507856 2
LINC02751..AC087379.2 0.213954898061235 1 0.75295666048473 2
TXNDC5..CD40 0.103500241815707 1 0.653122215595669 2
IGH...ext..FLNC 0.690143659331323 1 0.838909625154315 1
CHFR..IGH..ext 0.475790960895084 1 0.78073851507856 2
IGH...ext..CHD5 0.475790960895084 1 0.78073851507856 2
IGH...ext..CRTC2 0.777786883795167 1 0.838909625154315 2
IGH...ext..CALR 0.475790960895084 1 0.78073851507856 2
ACTB..IGH..ext 0.777786883795167 1 0.838909625154315 2
ACTB..UBC 0.475790960895084 1 0.78073851507856 2
ADAM19..CLINT1 0.146117935548424 1 0.703332875311723 2
AEBP2..AC024901.1 0.690143659331323 1 0.838909625154315 1
MTFR1L..IGL..ext 0.103500241815707 1 0.653122215595669 2
MNX1..IGH..ext 0.146117935548424 1 0.703332875311723 2
OAZ1..RNF126 0.777786883795167 1 0.838909625154315 2
NSD2..IGH...ext 0.103500241815707 1 0.653122215595669 2
MYEOV..CCND1 0.777786883795167 1 0.838909625154315 2
MYEOV..FAM30A 0.0244742274415246 1 0.342166623211816 1
IGH...ext..CD74 0.777786883795167 1 0.838909625154315 2
IGH...ext..ACTB 0.777786883795167 1 0.838909625154315 2
IGH...ext..AP002990.1 0.475790960895084 1 0.78073851507856 2
IGH....TNFRSF17 0.777786883795167 1 0.838909625154315 2
TRIM2..AC097375.1 0.146117935548424 1 0.703332875311723 2
PLD4..IGH..ext 0.475790960895084 1 0.78073851507856 2
PDCD4..RBM20 0.475790960895084 1 0.78073851507856 2
PDK1..RAPGEF4 0.690143659331323 1 0.838909625154315 1
PDXDC1..NOMO1 0.777786883795167 1 0.838909625154315 2
PCDHGA12..IGH..ext 0.777786883795167 1 0.838909625154315 2
OR6B3..IGH..ext 0.777786883795167 1 0.838909625154315 2
NUDCD3..CAMK2B 0.475790960895084 1 0.78073851507856 2
IGH....MALT1 0.000592635737107617 0.325357019672082 0.0271130849726735 2
IGH....AC244205.1 0.777786883795167 1 0.838909625154315 2
HSP90B1..IGL..ext 0.0244742274415246 1 0.342166623211816 1
COL6A6..IGH..ext 0.103500241815707 1 0.653122215595669 2
RCOR1..TRAF3 0.146117935548424 1 0.703332875311723 2
RACK1..IGH..ext 0.213954898061235 1 0.75295666048473 2
RALY..CHMP4B 0.475790960895084 1 0.78073851507856 2
PVT1..IGH. 0.475790960895084 1 0.78073851507856 2
PVT1..CNBD1 0.475790960895084 1 0.78073851507856 2
PTBP1..RNF126 0.777786883795167 1 0.838909625154315 2
PRDM2..KAZN 0.690143659331323 1 0.838909625154315 1
AC140134.1..OCLNP1 0.690143659331323 1 0.838909625154315 1
HNRNPA2B1..EEF1A1P5 0.777786883795167 1 0.838909625154315 2
HERPUD1..NUP93 0.475790960895084 1 0.78073851507856 2
HBB..IGL..ext 0.690143659331323 1 0.838909625154315 1
VPS54..PELI1 0.475790960895084 1 0.78073851507856 2
WAKMAR2..LINC02539 0.777786883795167 1 0.838909625154315 2
GOLGA3..POLE 0.690143659331323 1 0.838909625154315 1
FUT8..PTBP1P 0.690143659331323 1 0.838909625154315 1
FZD1..IGH..ext 0.475790960895084 1 0.78073851507856 2
AC109349.1..LINC02472 0.777786883795167 1 0.838909625154315 2
AC138969.2..IGL..ext 0.777786883795167 1 0.838909625154315 2
AC093484.3..IGL..ext 0.213954898061235 1 0.75295666048473 2
TRAF3..MARK3 0.213954898061235 1 0.75295666048473 2
RPL13..IGH..ext 0.690143659331323 1 0.838909625154315 1
RPL13A..IGH..ext 2.10282603595293e-48 1.15445149373816e-45 2.8861287343454e-46 0
RNF216..ACTB 0.475790960895084 1 0.78073851507856 2
ZFP36..IGH..ext 0.777786883795167 1 0.838909625154315 2
AC093591.1..IGH...ext 0.213954898061235 1 0.75295666048473 2
AC098487.1..SLC39A8 0.475790960895084 1 0.78073851507856 2
AC067930.5..IGLV2.28 0.475790960895084 1 0.78073851507856 2
SEC24A..JADE2 0.690143659331323 1 0.838909625154315 1
RXRA..IGH..ext 0.0244742274415246 1 0.342166623211816 1
RPS3..IGH..ext 0.690143659331323 1 0.838909625154315 1
RPL4..IGH..ext 0.777786883795167 1 0.838909625154315 2
RPL7A..IGH..ext 0.475790960895084 1 0.78073851507856 2
RPLP1..IGH..ext 0.690143659331323 1 0.838909625154315 1
FOSB..EEF1A1 0.322238423387682 1 0.78073851507856 1
FOSB..PNRC1 0.475790960895084 1 0.78073851507856 2
FOS..IGH. 0.322238423387682 1 0.78073851507856 1
AC090771.2..AC091576.1 0.475790960895084 1 0.78073851507856 2
SOAT2..IGH..ext 0.690143659331323 1 0.838909625154315 1
SLC2A11..SMARCB1 0.475790960895084 1 0.78073851507856 2
SIK1B..IGH..ext 0.690143659331323 1 0.838909625154315 1
SH3BGRL3..IGH..ext 0.475790960895084 1 0.78073851507856 2
SHISA9..IGH..ext 0.146117935548424 1 0.703332875311723 2
SEMA6A.AS1..SEMA6A.AS2 0.777786883795167 1 0.838909625154315 2
TPT1..IGH. 0.690143659331323 1 0.838909625154315 1
TPT1..IGH..ext 2.10282603595293e-48 1.15445149373816e-45 2.8861287343454e-46 0
AC009226.1..AC007879.3 0.146117935548424 1 0.703332875311723 2
AC009570.2..IGL. 0.0244742274415246 1 0.342166623211816 1
SSR4..IGH. 0.777786883795167 1 0.838909625154315 2
STEAP1..RAPGEF5 0.322238423387682 1 0.78073851507856 1
SP140..ARMC9 0.777786883795167 1 0.838909625154315 2
CXCR4..KLF2 0.213954898061235 1 0.75295666048473 2
CTHRC1..IGH..ext 0.475790960895084 1 0.78073851507856 2
EPN1..IGH..ext 0.690143659331323 1 0.838909625154315 1
ELL..FKBP8 0.213954898061235 1 0.75295666048473 2
EEF1A1P5..IGH...ext 0.213954898061235 1 0.75295666048473 2
TPM4..IGH. 0.146117935548424 1 0.703332875311723 2
