p_values p_values_bf p_values_BH freq
IGH...ext..TPT1 0.211742755585067 1 0.75295666048473 8
IGL...ext..PRAMENP 0.0815930988554897 1 0.653122215595669 10
FGFR3..IGH..ext 3.32813399605412e-05 0.0182714556383371 0.00182714556383371 9
AL121970.1..AL078590.2 0.978111048875668 1 0.979895923052449 7
IGH....AC245060.7 0.124806100439704 1 0.703332875311723 8
BCORL1..IGL...ext 0.072909987054862 1 0.606478528683625 7
OR51S1..TP53I11 0.66256918990693 1 0.838909625154315 6
MYEOV..IGH...ext 0.407211466091141 1 0.78073851507856 9
IGH...ext..EEF1G 0.838969340476843 1 0.85931747746602 9
IGL...ext..FOSB 0.0459434134629288 1 0.475904414927319 7
IGH..ext..DENND3 0.513701401844458 1 0.829476675331198 8
ZNF740..IGH..ext 0.0187907758665627 1 0.332778579056224 6
IGH...ext..MIR650 0.0618756367025439 1 0.556880730322896 7
EEF1A1P5..IGH..ext 0.520271083655621 1 0.83762118746902 8
IGLL5..COMMD3.BMI1 0.262196483785155 1 0.78073851507856 6
IGH...ext..ITM2C 0.021978225837824 1 0.342166623211816 8
IGH...TXNDC5 0.460572427467114 1 0.78073851507856 8
IGH...ext..EEF2 0.94036157013257 1 0.947263306427121 8
IGL..ext..TXNDC5 0.90292349621193 1 0.917972221148796 8
AL033530.1..AL691520.1 0.162007136544649 1 0.735057173248034 8
KLF10..AZIN1 0.211742755585067 1 0.75295666048473 8
IGH...ext..HSP90B1 0.0578243208982177 1 0.538060206324094 7
KLF2..TPM4 0.579446264274524 1 0.838909625154315 7
TXNDC5..IGH. 0.978111048875668 1 0.979895923052449 7
MIR650..IGH..ext 0.0618756367025439 1 0.556880730322896 7
B2M..IGL..ext 0.743773185334211 1 0.838909625154315 6
IGH...ext..AC008894.3 0.211742755585067 1 0.75295666048473 8
OAZ1..KLF16 0.0578243208982177 1 0.538060206324094 7
B2M..IGHGP 0.639899800272104 1 0.838909625154315 7
IGH....HSP90B1 0.726382616404801 1 0.838909625154315 7
BCL2L11..PTMA 0.395801102173145 1 0.78073851507856 8
IGL....B2M 0.66256918990693 1 0.838909625154315 6
NRBP1..IGH..ext 0.0893413927725653 1 0.653122215595669 6
IGL...JCHAIN 0.48018351450777 1 0.782257416809394 6
IGH...ext..C4B 0.0344163926944507 1 0.41075216498377 7
GAS6..IGH..ext 0.320959421232598 1 0.78073851507856 7
ACTB..KLF2 0.553194522510785 1 0.838909625154315 7
IGH...ext..TNFRSF10B 0.203393407262227 1 0.75295666048473 7
JCHAIN..GNAS 0.0187907758665627 1 0.332778579056224 6
FOSB..IGH. 0.0150659993412416 1 0.295401201369344 6
AC009570.2..IGL..ext 0.226863276735933 1 0.754835993503196 6
DDX5..IGH..ext 0.66256918990693 1 0.838909625154315 6
AL135905.2..EEF1A1P5 0.540308241968344 1 0.838909625154315 5
TXNDC11..TNFRSF17 0.79025319824914 1 0.840197481602026 5
CU104787.1..BAGE2 0.909984464364614 1 0.921737031247552 6
IGH..ext..TXNDC5 0.262196483785155 1 0.78073851507856 6
SENP3.EIF4A1..EIF5A 0.708671713561023 1 0.838909625154315 5
TRAF3..LBHD2 0.66256918990693 1 0.838909625154315 6
AL138963.4..IGL..ext 0.540308241968344 1 0.838909625154315 5
B2M..LINC01578 0.743773185334211 1 0.838909625154315 6
IGH...ext..SSR4 0.68802159309785 1 0.838909625154315 5
PFKFB3..LINC02649 0.540308241968344 1 0.838909625154315 5
AC233976.1..LINC01284 0.321703370019112 1 0.78073851507856 5
PVT1..IGH..ext 0.40415971810989 1 0.78073851507856 6
IGH...AC245060.7 0.0187907758665627 1 0.332778579056224 6
FOSB..PTMA 0.79025319824914 1 0.840197481602026 5
NSD2..IGH. 0.00336273468488052 1 0.115383833874963 5
IGH...ext..RPS3 0.106329708219999 1 0.655898986660445 6
IGH....EEF1A1 0.226863276735933 1 0.754835993503196 6
EEF1A1..IGL..ext 0.909984464364614 1 0.921737031247552 6
MXI1..DUSP5 0.468478058231436 1 0.78073851507856 6
MLLT6..IGH..ext 0.154899244931222 1 0.708664045560342 5
AC245060.7..IGH. 0.109284940723341 1 0.661448250817766 6
IGH...ext..RPS18 0.154899244931222 1 0.708664045560342 5
ARSG..PRKAR1A 0.68802159309785 1 0.838909625154315 5
IGH...RPS11 0.225409959698369 1 0.754835993503196 4
IGH..ext..EEF2 0.321703370019112 1 0.78073851507856 5
SIK1..ACTB 0.692083359175542 1 0.838909625154315 4
TPM4..ISYNA1 0.321703370019112 1 0.78073851507856 5
RPL17.C18orf32..RPL17P12 0.0331349272094427 1 0.407393061460198 3
NSD2..IGHGP 0.00336273468488052 1 0.115383833874963 5
TXNDC5..IGL..ext 0.149890612771351 1 0.703332875311723 4
IGL....EEF1A1 0.708671713561023 1 0.838909625154315 5
B2M..KLF2 0.404617882150962 1 0.78073851507856 4
PVT1..IGLL5 0.540308241968344 1 0.838909625154315 5
PVT1..IGL..ext 0.692083359175542 1 0.838909625154315 4
AC244205.1..IGH. 0.692083359175542 1 0.838909625154315 4
CD74..IGH..ext 0.540308241968344 1 0.838909625154315 5
IGH....B2M 0.604076839217065 1 0.838909625154315 4
IGH...ext..SRRM2 0.708671713561023 1 0.838909625154315 5
IGH...ext..RPL13AP5 0.540308241968344 1 0.838909625154315 5
TXNDC5..LTBR 0.154899244931222 1 0.708664045560342 5
CDKN1A..KLF2 0.232002208456658 1 0.767284412305453 5
AL671883.2..IGH..ext 0.692083359175542 1 0.838909625154315 4
IGH...ext..FOSB 0.362311003418551 1 0.78073851507856 4
MEGF8..IGH..ext 0.68802159309785 1 0.838909625154315 5
IGH...ext..COL13A1 0.604076839217065 1 0.838909625154315 4
IGH...ext..MCL1 0.604076839217065 1 0.838909625154315 4
KLF10..YWHAZ 0.604076839217065 1 0.838909625154315 4
FOSB..DDX5 0.79025319824914 1 0.840197481602026 5
IGH..ext..AR 0.540308241968344 1 0.838909625154315 5
JCHAIN..IGH. 0.68802159309785 1 0.838909625154315 5
IGH..ext..CD74 0.540308241968344 1 0.838909625154315 5
SMIM10L1..LINC01252 0.379566118257675 1 0.78073851507856 3
AC020916.1..KLF2 0.319838491921159 1 0.78073851507856 5
EEF2..IGH..ext 0.321703370019112 1 0.78073851507856 5
EDF1..RABL6 0.692083359175542 1 0.838909625154315 4
YAF2..RYBP 0.404617882150962 1 0.78073851507856 4
IGH..ext..FOSB 0.814707004715918 1 0.840197481602026 3
AC069133.1..IGH..ext 0.327663492863483 1 0.78073851507856 3
IGH..ext..BCAT2 0.814707004715918 1 0.840197481602026 3
IGH...ext..MALAT1 0.777786883795167 1 0.838909625154315 2
C4A..IGH. 0.34416880903913 1 0.78073851507856 3
SMOC1..AL160191.1 0.327663492863483 1 0.78073851507856 3
FGFR3..IGH. 0.0105731686005333 1 0.255250540069902 4
AKAP8..KLF2 0.604076839217065 1 0.838909625154315 4
IGL..ext..KDM2B 0.814707004715918 1 0.840197481602026 3
FOSB..ACTB 0.225409959698369 1 0.754835993503196 4
RRAGA..IGH..ext 0.604076839217065 1 0.838909625154315 4
LINC01606..IGL. 0.692083359175542 1 0.838909625154315 4
ANKDD1A..SLC51B 0.213954898061235 1 0.75295666048473 2
IGH...ext..GANAB 0.149890612771351 1 0.703332875311723 4
AL513493.1..PDE4B 0.0120883680178824 1 0.255250540069902 3
ITPR2..INTS13 0.225409959698369 1 0.754835993503196 4
JUN..IGL..ext 0.692083359175542 1 0.838909625154315 4
JUN..IGH..ext 0.327663492863483 1 0.78073851507856 3
IGH...CD74 0.692083359175542 1 0.838909625154315 4
HAND2.AS1..LINC02269 0.0105731686005333 1 0.255250540069902 4
PVT1..BMP6 0.327663492863483 1 0.78073851507856 3
TXNDC5..TNFRSF13B 0.225409959698369 1 0.754835993503196 4
IGH....AC008038.1 0.718106837707575 1 0.838909625154315 4
IGH..ext..ZFP36L1 0.692083359175542 1 0.838909625154315 4
PHKB..LINC02133 0.34416880903913 1 0.78073851507856 3
AF127936.2..SAMSN1 0.0453716582509535 1 0.475904414927319 4
IGH...ext..TXNIP 0.225409959698369 1 0.754835993503196 4
UBC..IGH..ext 0.692083359175542 1 0.838909625154315 4
AC006453.1..FAM230C 0.379566118257675 1 0.78073851507856 3
TPM4..ACTB 0.225409959698369 1 0.754835993503196 4
IGH...ext..MYEOV 0.718106837707575 1 0.838909625154315 4
IGL..ext..CHMP1A 0.0120883680178824 1 0.255250540069902 3
IGH...ext..C4A 0.604076839217065 1 0.838909625154315 4
IGL...ext..PFKL 0.692083359175542 1 0.838909625154315 4
IGL...ext..JUN 0.814707004715918 1 0.840197481602026 3
IGH...ext..RPLP1 0.149890612771351 1 0.703332875311723 4
IGH...ext..RPL13A 0.379566118257675 1 0.78073851507856 3
IGL...ext..MCL1 0.0105731686005333 1 0.255250540069902 4
IGL...ext..AC040168.1 0.379566118257675 1 0.78073851507856 3
IGL...ext..AC244205.1 0.475790960895084 1 0.78073851507856 2
MIR650..IGH...ext 0.12430430217399 1 0.703332875311723 3
ADAM19..SOX30 0.225409959698369 1 0.754835993503196 4
IGL...ext..RPTOR 0.604076839217065 1 0.838909625154315 4
CDC34..IGH..ext 0.814707004715918 1 0.840197481602026 3
IGH....AHNAK 0.34416880903913 1 0.78073851507856 3
IGH...ext..AC136285.3 0.0648111243060523 1 0.564782654667027 4
IGH....MIR650 0.477829036550812 1 0.78073851507856 3
IGH....NEAT1 0.718106837707575 1 0.838909625154315 4
IGH...ext..TSC22D3 0.692083359175542 1 0.838909625154315 4
IGL...ext..CALR 0.692083359175542 1 0.838909625154315 4
C22orf39..IGH..ext 0.692083359175542 1 0.838909625154315 4
EEF1A1P5..IGL..ext 0.777786883795167 1 0.838909625154315 2
IGHV3.62..NSD2 0.0331349272094427 1 0.407393061460198 3
SNX22..IGL..ext 0.604076839217065 1 0.838909625154315 4
IGH...ext..KLF6 0.379566118257675 1 0.78073851507856 3
IGH...UBC 0.0244742274415246 1 0.342166623211816 1
IGHGP..P4HB 0.475790960895084 1 0.78073851507856 2
YWHAZ..ZNF706 0.34416880903913 1 0.78073851507856 3
IGH..ext..MIR650 0.12430430217399 1 0.703332875311723 3
IGH..ext..ITM2C 0.379566118257675 1 0.78073851507856 3
EEF1A1..IGH. 0.690143659331323 1 0.838909625154315 1
EOGT..IGH..ext 0.213954898061235 1 0.75295666048473 2
DDX6..FOXR1 0.690143659331323 1 0.838909625154315 1
DDX5..IGH. 0.475790960895084 1 0.78073851507856 2
SIK1..IGH..ext 0.379566118257675 1 0.78073851507856 3
SLC7A5..IGH..ext 0.327663492863483 1 0.78073851507856 3
IGL..ext..EEF1A1 0.477829036550812 1 0.78073851507856 3
LINC.PINT..KLF6 0.475790960895084 1 0.78073851507856 2
LINC01901..MIR924HG 0.777786883795167 1 0.838909625154315 2
AC087280.2..DCHS1 0.475790960895084 1 0.78073851507856 2
AL138963.4..IGH. 0.34416880903913 1 0.78073851507856 3
CDKN1A..UBC 0.475790960895084 1 0.78073851507856 2
CDKN1A..PTMA 0.379566118257675 1 0.78073851507856 3
IGL..ext..AR 0.477829036550812 1 0.78073851507856 3
