"genes"	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
"ENSG00000183580"	"FBXL7"	3.05112600001884	-2.98315628198194	12.1706066221937	4.68201032542509e-31	4.43591215769493e-28	59.5084322894572
"ENSG00000163344"	"PMVK"	0.635932878319937	5.5832302095001	12.1249768300757	7.42481171676173e-31	6.62074828319948e-28	58.8678862557059
"ENSG00000143401"	"ANP32E"	0.637561082297339	6.26503846240577	12.0714222482314	1.27380326714031e-30	1.07275465147667e-27	58.3183458867331
"ENSG00000143549"	"TPM3"	0.604831505576836	7.71387409835104	11.9653107262375	3.69482125186972e-30	2.9478839661628e-27	57.2941670598901
"ENSG00000143776"	"CDC42BPA"	2.52639673508599	-1.50934983418644	11.888427950871	7.96225760934044e-30	6.03499315499958e-27	56.8242113380658
"ENSG00000175344"	"CHRNA7"	2.06743537641204	-3.25703427336284	11.8133344238809	1.68022009384009e-29	1.21287887631057e-26	55.965798388251
"ENSG00000104447"	"TRPS1"	2.29596696743005	-0.336214063315055	11.7929017903629	2.0577012350126e-29	1.417849682798e-26	55.9465685229782
"ENSG00000105373"	"NOP53"	-0.894914369908868	8.95539129261929	-11.7754741095359	2.4455430168743e-29	1.61182550403467e-26	55.4515219526464
"ENSG00000135111"	"TBX3"	2.28442480971753	-4.93800788729901	11.7273715841358	3.93538217653922e-29	2.48568576725659e-26	55.0109459974277
"ENSG00000221887"	"HMSD"	1.88865426287713	-4.72409505546702	11.6064881614928	1.29343289887509e-28	7.84285972561902e-26	53.8577997838557
"ENSG00000087510"	"TFAP2C"	3.40153468674758	-2.90978084537464	11.5964570023477	1.42713829790457e-28	8.01949941495901e-26	53.9305841805477
"ENSG00000075340"	"ADD2"	2.60691868852475	-1.18335166507703	11.5963690653331	1.4283691813701e-28	8.01949941495901e-26	54.0152290955294
"ENSG00000185630"	"PBX1"	2.74627497705876	-1.50969388947098	11.4817695601158	4.37686947453121e-28	2.36960587015781e-25	52.9025702511753
"ENSG00000166086"	"JAM3"	1.30230481897592	0.860807071041215	11.4479438075208	6.08263525130668e-28	3.17954026808821e-25	52.6332752822489
