gid	freq	variance	mutual_info	chi2_x	chi2_p	fwe_alpha_5e2	fdr_alpha_5e2	fpr_alpha_5e2
ENSG00000152402	7	0.0071352073837643165	0.011866921923404217	3.701296977892744	0.15713523280426367	False	False	False
ENSG00000196730	7	0.007135207383764318	0.0	0.7036138099967821	0.7034159349646081	False	False	False
ENSG00000204219	1	0.0010256399445121415	0.022985617964454086	0.6769825918762009	0.7128449840087505	False	False	False
ENSG00000117724	8	0.008146089919002905	0.0	2.4162683205236637	0.29875418715237456	False	False	False
ENSG00000110090	3	0.003070595229562043	0.009223536581528746	2.0223146606125435	0.3637977017341722	False	False	False
ENSG00000070031	1	0.0010256399445121413	0.006548682858690036	2.3474903474903535	0.30920673708492136	False	False	False
ENSG00000166819	1	0.0010256399445121413	0.02383447712545972	0.6769825918762009	0.7128449840087505	False	False	False
ENSG00000149182	3	0.003070595229562043	0.006683183276344984	0.35180690499839107	0.8386989537161759	False	False	False
ENSG00000197079	1	0.0010256399445121415	0.0	2.3474903474903535	0.30920673708492136	False	False	False
ENSG00000131558	6	0.0061222166472009384	0.03261893820689932	4.044629321225087	0.13234876778706572	False	False	False
ENSG00000135127	2	0.0020491716876994887	0.004610110113118626	0.5122364696832813	0.7740504436499978	False	False	False
ENSG00000160111	15	0.01516323802857878	0.028984684470856337	3.432962995273068	0.17969730228407904	False	False	False
ENSG00000154143	1	0.0010256399445121413	0.020530500711024136	0.6769825918762009	0.7128449840087505	False	False	False
ENSG00000221900	4	0.004089910570099801	0.0	1.0244729393665626	0.5991540893147583	False	False	False
ENSG00000080511	2	0.0020491716876994887	0.009651284536217775	0.6769825918762009	0.7128449840087505	False	False	False
ENSG00000206107	1	0.0010256399445121413	0.0007644874422221282	2.3474903474903535	0.30920673708492136	False	False	False
ENSG00000156510	4	0.004089910570099801	0.0	0.35180690499839107	0.8386989537161759	False	False	False
ENSG00000175785	2	0.0020491716876994887	0.0	0.5122364696832813	0.7740504436499978	False	False	False
ENSG00000169136	1	0.0010256399445121415	0.02300324251020669	2.3474903474903535	0.30920673708492136	False	False	False
ENSG00000138081	2	0.0020491716876994887	0.0	4.694980694980707	0.09560880625870366	False	False	False
ENSG00000164076	3	0.003070595229562043	0.0	10.26229090058879	0.005909787227694352	False	False	True
ENSG00000118503	3	0.0030705952295620427	0.0	2.0309477756286025	0.3622307324229878	False	False	False
ENSG00000105245	5	0.005107117709312768	0.009822742892890979	0.5935612403697512	0.7432070391017354	False	False	False
ENSG00000114127	9	0.009154864252916697	0.0	1.220166837188093	0.5433055453993725	False	False	False
ENSG00000139180	1	0.0010256399445121415	0.004155756964860924	0.6769825918762009	0.7128449840087505	False	False	False
ENSG00000164161	5	0.005107117709312768	0.014043585215967713	1.0244729393665626	0.5991540893147583	False	False	False
ENSG00000162849	9	0.009154864252916697	0.0	4.347512751768095	0.11374952740010641	False	False	False
ENSG00000183576	4	0.004089910570099803	0.0	2.7079303675048036	0.25821436066154263	False	False	False
ENSG00000116667	1	0.0010256399445121413	0.0	2.3474903474903535	0.30920673708492136	False	False	False
ENSG00000160075	2	0.0020491716876994887	0.003185852319659732	2.3474903474903535	0.30920673708492136	False	False	False
ENSG00000019485	1	0.0010256399445121413	0.0	8.527472527472536	0.014069636212465415	False	False	True
ENSG00000050165	1	0.0010256399445121415	0.0	8.527472527472536	0.014069636212465415	False	False	True
ENSG00000136205	8	0.008146089919002905	0.0	7.883940917375589	0.019409930572755727	False	False	True
ENSG00000221837	2	0.0020491716876994887	0.004140627842646349	3.602227559674373	0.16511488414181452	False	False	False
ENSG00000104332	1	0.0010256399445121413	0.0	8.527472527472536	0.014069636212465415	False	False	True
ENSG00000134259	2	0.0020491716876994887	0.0	1.3539651837524018	0.5081479712264356	False	False	False
ENSG00000196341	2	0.0020491716876994887	0.009166301672810517	0.5122364696832813	0.7740504436499978	False	False	False
ENSG00000112246	7	0.0071352073837643165	0.02510925186817481	1.1370192282046414	0.5663689182370263	False	False	False
ENSG00000158669	3	0.0030705952295620427	0.030916808348608882	2.0223146606125435	0.3637977017341722	False	False	False
ENSG00000115255	2	0.0020491716876994887	0.0025246630592825614	0.5122364696832813	0.7740504436499978	False	False	False
ENSG00000073331	2	0.0020491716876994887	0.016956301808162433	2.3474903474903535	0.30920673708492136	False	False	False
ENSG00000187535	5	0.005107117709312768	0.0	0.6100834185940465	0.7370926301350276	False	False	False
ENSG00000256436	1	0.0010256399445121415	0.008622958037378892	2.3474903474903535	0.30920673708492136	False	False	False
ENSG00000142945	1	0.0010256399445121413	0.0	0.6769825918762009	0.7128449840087505	False	False	False
ENSG00000185453	2	0.0020491716876994887	0.0	1.3539651837524018	0.5081479712264356	False	False	False
ENSG00000185477	6	0.006122216647200939	0.004487316737608493	0.8957233106169339	0.638993079217709	False	False	False
ENSG00000196724	4	0.004089910570099801	0.0	1.0244729393665626	0.5991540893147583	False	False	False
ENSG00000166860	5	0.005107117709312768	0.003646702707341687	0.6100834185940465	0.7370926301350276	False	False	False
ENSG00000122417	1	0.0010256399445121413	0.0	0.6769825918762009	0.7128449840087505	False	False	False
ENSG00000005469	2	0.0020491716876994887	0.0	0.5122364696832813	0.7740504436499978	False	False	False
ENSG00000186788	1	0.0010256399445121415	0.01757204748392427	0.6769825918762009	0.7128449840087505	False	False	False
ENSG00000121413	5	0.005107117709312768	0.009858902781146872	2.7079303675048036	0.25821436066154263	False	False	False
ENSG00000080709	7	0.007135207383764318	0.008052891021817166	0.9250728569877638	0.629684468636985	False	False	False
ENSG00000011198	1	0.0010256399445121413	0.0	0.6769825918762009	0.7128449840087505	False	False	False
ENSG00000146242	2	0.0020491716876994887	0.0	0.5122364696832813	0.7740504436499978	False	False	False
ENSG00000176542	15	0.019270014209276935	0.007199225024296707	0.49129832435889226	0.7821966009426403	False	False	False
ENSG00000104369	9	0.009154864252916697	0.013512819760441497	2.048945878733125	0.3589856227425975	False	False	False
ENSG00000163001	2	0.0020491716876994887	0.0073060678453855665	8.527472527472536	0.014069636212465415	False	False	True
ENSG00000184730	4	0.004089910570099801	0.010931837632762953	0.6100834185940465	0.7370926301350276	False	False	False
ENSG00000163728	5	0.005107117709312768	0.0	2.3670686989836067	0.3061946250940539	False	False	False
ENSG00000126368	2	0.0020491716876994887	0.0	4.694980694980707	0.09560880625870366	False	False	False
