"genes"	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
"ENSG00000214575"	"CPEB1"	-2.57726220702293	-3.12320531299204	-7.13182644673668	2.46920510206812e-12	1.78241334010717e-09	17.3395033246745
"ENSG00000080709"	"KCNN2"	-1.70113101975192	-5.39478010018319	-7.10658312354288	2.92908649670348e-12	2.018273736524e-09	17.0882599213713
"ENSG00000174123"	"TLR10"	1.86085053171653	4.20536869093783	7.07219256465523	3.69346635060506e-12	2.40466155167843e-09	16.8576514404814
"ENSG00000133114"	"GPALPP1"	0.568292621546	4.05708854590165	7.06768788046061	3.80710318888332e-12	2.40466155167843e-09	16.8042857674604
"ENSG00000156140"	"ADAMTS3"	-2.41229377164349	-3.61582928640369	-7.04513269157817	4.42981067920874e-12	2.68606000344501e-09	16.7930328229916
"ENSG00000127252"	"PLAAT1"	-2.08036007374356	-4.88582984234271	-7.03026826558187	4.89381062546102e-12	2.85327981812937e-09	16.6268247962565
"ENSG00000105472"	"CLEC11A"	-2.80376325863878	-2.14228087106542	-7.00384565164578	5.83930105299141e-12	3.18901235937178e-09	16.5970381305225
"ENSG00000185634"	"SHC4"	-1.12168255845696	-0.987670119786447	-7.00168027443797	5.92429974965636e-12	3.18901235937178e-09	16.6374567010568
"ENSG00000074590"	"NUAK1"	-3.17413983992567	-1.74787205562421	-6.99728076402756	6.10075588243166e-12	3.18901235937178e-09	16.5842991714736
"ENSG00000184640"	"SEPTIN9"	1.32052339262906	6.5718489716833	6.96284882483366	7.67206333577936e-12	3.87669360356931e-09	15.9499740176927
"ENSG00000169241"	"SLC50A1"	-0.745127254187477	5.71902981491153	-6.95360515565812	8.157595187246e-12	3.9890640465633e-09	15.9068945046872
"ENSG00000087510"	"TFAP2C"	-3.39936410726211	-2.90978084537464	-6.92611884201345	9.78660747644905e-12	4.6360994604841e-09	16.0849034011168
"ENSG00000169894"	"MUC3A"	-3.20691233581559	-3.25002510894388	-6.90182230061331	1.14896961812949e-11	5.277948618553e-09	15.9073440751338
"ENSG00000143543"	"JTB"	-0.383523076209751	7.80135099178762	-6.89279269248151	1.21941374969753e-11	5.43679206813673e-09	15.5183199404065
"ENSG00000188130"	"MAPK12"	1.08368219624279	2.90841044088792	6.88513427631916	1.28246984901312e-11	5.55456012605426e-09	15.7664261754528
"ENSG00000101349"	"PAK5"	-1.75604021791084	-4.1939927365489	-6.86024361184556	1.51032790740684e-11	6.35973909677228e-09	15.610917593641
"ENSG00000129514"	"FOXA1"	-2.48768137554536	-4.90794608788645	-6.85546828598828	1.55837791423933e-11	6.38471643296053e-09	15.5460718898765
"ENSG00000134375"	"TIMM17A"	-0.48103569017386	6.11568144397904	-6.84384532204822	1.68168759532242e-11	6.7086058572349e-09	15.1780087842447
"ENSG00000160691"	"SHC1"	-0.669616054604353	7.50316432077331	-6.83239220914067	1.81254434140954e-11	7.04522042857108e-09	15.1217649439993
"ENSG00000185274"	"GALNT17"	-2.76118150613619	-4.42789073535828	-6.82274361900589	1.93049698012707e-11	7.31610093043658e-09	15.3710704283911
"ENSG00000075891"	"PAX2"	-2.45341313634682	-3.96806132468234	-6.8132773506073	2.05352860148742e-11	7.59254635852386e-09	15.319670780921
"ENSG00000075340"	"ADD2"	-2.56065844687059	-1.18335166507703	-6.80254221741272	2.20237454131018e-11	7.94899896945738e-09	15.3930193219852
"ENSG00000127955"	"GNAI1"	-2.57221494294139	-2.53748882303547	-6.79499016388801	2.3133773422503e-11	8.15546212352845e-09	15.2923731099986
"ENSG00000107331"	"ABCA2"	1.1789983531836	4.35418228371468	6.76209509688973	2.86439942391746e-11	9.86850701526474e-09	14.824352633824
"ENSG00000179085"	"DPM3"	-0.730876990143	4.62365866875102	-6.7456211311728	3.18683683640044e-11	1.07353910228876e-08	14.6695677302721
"ENSG00000176973"	"FAM89B"	-0.574314577033449	5.88515751231052	-6.73678467116005	3.37419119444875e-11	1.10795467037494e-08	14.5044838919804
"ENSG00000135111"	"TBX3"	-2.09862244883428	-4.93800788729901	-6.73401182597199	3.43517840936884e-11	1.10795467037494e-08	14.8141973945597
"ENSG00000162669"	"HFM1"	-2.2374056175861	-4.05773684115463	-6.72853093466646	3.55892478490283e-11	1.12395293363212e-08	14.8186270771937
"ENSG00000185630"	"PBX1"	-2.67878099430311	-1.50969388947098	-6.71101507974942	3.98443132273326e-11	1.23265294737375e-08	14.8204974808637
"ENSG00000241794"	"SPRR2A"	-2.02907540177969	-5.16830907208088	-6.70411251117385	4.16548233333684e-11	1.26289093382106e-08	14.6317581206947
"ENSG00000166401"	"SERPINB8"	-1.7813713288735	1.68071597607164	-6.69777443272787	4.33881667138035e-11	1.28964944944029e-08	14.7554084975093
"ENSG00000154914"	"USP43"	-1.71460591802325	-4.75009942833506	-6.65948584666674	5.54670043633044e-11	1.61696984450641e-08	14.3739762331317
"ENSG00000151276"	"MAGI1"	-2.6757023073904	-1.62426337798739	-6.65607960639336	5.66890054833986e-11	1.6214125172129e-08	14.4801464481437
"ENSG00000105982"	"RNF32"	-1.08177964093836	1.52355553748942	-6.64561056390185	6.06123670022367e-11	1.70152383590168e-08	14.4466801749916
"ENSG00000102710"	"SUPT20H"	0.488789538475009	5.34058937998182	6.64247059183934	6.18401324079704e-11	1.70442648576804e-08	13.9353175080158
"ENSG00000221887"	"HMSD"	-1.71301303883265	-4.72409505546702	-6.63085137281256	6.65990274792195e-11	1.80281188849552e-08	14.2072536093372
"ENSG00000122691"	"TWIST1"	-2.05949311810815	-4.60058033617524	-6.62133089630092	7.07643118385393e-11	1.88195825115863e-08	14.1477285313635
"ENSG00000118971"	"CCND2"	-4.33890962858538	3.8141961449399	-6.61384111677259	7.42196104284165e-11	1.93981909393856e-08	14.1346437749094
"ENSG00000166446"	"CDYL2"	-2.30403888280546	-0.916482540419499	-6.60397955301468	7.90222546825346e-11	2.02280575007221e-08	14.177510443482
"ENSG00000107242"	"PIP5K1B"	0.726410896920478	6.40717341818149	6.60191900981445	8.00635563060443e-11	2.02280575007221e-08	13.65051466918
"ENSG00000143515"	"ATP8B2"	-0.568303370167204	8.60572997469212	-6.57854128063941	9.28611738872911e-11	2.30767628681548e-08	13.5744205494305
"ENSG00000166257"	"SCN3B"	-1.99389702103543	-3.88884842561607	-6.56794301860517	9.93038537094795e-11	2.42797922319678e-08	13.8626980053154
"ENSG00000181513"	"ACBD4"	0.545560295073771	4.67044487957806	6.56248078911859	1.02793328675126e-10	2.47340328474005e-08	13.502035890504
"ENSG00000136104"	"RNASEH2B"	0.595154322362819	5.71810339506205	6.54707218463958	1.13297150125641e-10	2.68354921680404e-08	13.3248361683158
"ENSG00000122862"	"SRGN"	-0.682533800164185	8.7812733465363	-6.52296987297339	1.31869773980243e-10	3.07540600579461e-08	13.2342433503197
