"genes"	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
"ENSG00000162139"	"NEU3"	-0.384055140492567	6.35100980243297	-3.43314740516115	0.000631629556153022	0.0723140896288868	-0.647169672082489
"ENSG00000177839"	"PCDHB9"	-0.645488414294272	2.52674239266528	-3.43296430960912	0.000632049140142752	0.0723140896288868	-0.508428748707709
"ENSG00000146066"	"HIGD2A"	-0.28614128233952	6.34719226790762	-3.4319146135609	0.000634459655692456	0.0723140896288868	-0.652577527339179
"ENSG00000147421"	"HMBOX1"	0.242567859968019	3.93931245320422	3.42631183362665	0.000647471441229581	0.0732464147582031	-0.550599413764125
"ENSG00000101004"	"NINL"	-0.85230219084253	2.56584730579361	-3.42050575390699	0.000661217471370744	0.0733981318772507	-0.545239294431084
"ENSG00000104885"	"DOT1L"	0.223340291134072	5.75292924625132	3.42011352207852	0.000662155826769141	0.0733981318772507	-0.68564471648734
"ENSG00000106004"	"HOXA5"	-1.15870641390493	-0.96332231515858	-3.41883545490309	0.000665222025489699	0.0733981318772507	-0.928205139924894
"ENSG00000237649"	"KIFC1"	0.524912367646587	2.69955528874031	3.41639145050777	0.000671122284151766	0.0733981318772507	-0.528061396895573
"ENSG00000105438"	"KDELR1"	-0.228430567654251	7.89433182581654	-3.41560881444643	0.000673021988979342	0.0733981318772507	-0.684059756146663
"ENSG00000176890"	"TYMS"	0.518127555438826	3.99392890819362	3.41316503233061	0.0006789861138657	0.0735196464292154	-0.600675938289152
"ENSG00000138604"	"GLCE"	-0.490335741606915	3.52274011940347	-3.40292231527431	0.000704523428081679	0.0747189647103288	-0.572182561509867
"ENSG00000005075"	"POLR2J"	-0.172689812929916	5.73491468228639	-3.40208612404655	0.000706647243840362	0.0747189647103288	-0.735572243180914
"ENSG00000094916"	"CBX5"	0.321442797587951	5.76301306986336	3.39975307695235	0.000712604441029051	0.0747189647103288	-0.751007058802574
"ENSG00000126787"	"DLGAP5"	0.66001155089793	1.41934504385091	3.39917105280275	0.000714097850839685	0.0747189647103288	-0.650414504977889
"ENSG00000138180"	"CEP55"	0.614933696243886	1.8611327624467	3.39893380942196	0.000714707426809003	0.0747189647103288	-0.6143231757552
"ENSG00000172554"	"SNTG2"	-1.37363519272973	-3.84465976988342	-3.39658645988848	0.000720764901829283	0.0748361311426719	-1.35304067772398
"ENSG00000088305"	"DNMT3B"	0.516121720136594	1.3972882528432	3.39159562387202	0.000733803238824583	0.0756715870567473	-0.666357027287845
"ENSG00000066279"	"ASPM"	0.56770080769965	3.5456145480575	3.38216883094989	0.000759031266586662	0.0777442903391027	-0.659003477295123
"ENSG00000261371"	"PECAM1"	-0.460519668283245	9.15769896060844	-3.38008407695392	0.000764718403584864	0.0778011159727715	-0.763452351249532
"ENSG00000196260"	"SFTA2"	-0.511475563804527	-0.746742116952319	-3.37588774076426	0.000776286281999754	0.0782553213619994	-1.01184250922076
"ENSG00000100714"	"MTHFD1"	0.296032551470853	5.5667102570866	3.37139830936836	0.000788842231814403	0.0782553213619994	-0.837841402030429
"ENSG00000160404"	"TOR2A"	-0.226061862049847	5.12285861297252	-3.37123997387759	0.000789288490849274	0.0782553213619994	-0.804622474135267
"ENSG00000140534"	"TICRR"	0.627026180839531	0.876774088889876	3.36948593701262	0.000794247872055712	0.0782553213619994	-0.784475903871687
"ENSG00000130751"	"NPAS1"	-0.644050346859996	0.441780388610947	-3.36896050108942	0.000795739126682951	0.0782553213619994	-0.915002042733684
"ENSG00000105982"	"RNF32"	-0.529820739250819	1.52355553748942	-3.36596181104027	0.000804299751697193	0.0782553213619994	-0.814128563556084
"ENSG00000132356"	"PRKAA1"	-0.180931754660105	6.15665881062987	-3.36560677296704	0.000805318961176324	0.0782553213619994	-0.865492468375856
"ENSG00000137818"	"RPLP1"	-0.327263958680742	11.4451965432154	-3.36196947262464	0.000815829981877228	0.0786648352587691	-0.755592669047868
"ENSG00000135451"	"TROAP"	0.54491737322681	2.04759908716467	3.36056868770237	0.00081991186561683	0.0786648352587691	-0.715872245284058
